 address, hash, clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 0x7f9a0f800000, 7, 91, 79, 97, 83, 100, 87
 0x7f9a0f800040, 6, 83, 77, 87, 82, 91, 91
 0x7f9a0f800080, 5, 91, 87, 95, 91, 100, 94
 0x7f9a0f8000c0, 4, 93, 83, 98, 87, 102, 91
 0x7f9a0f800100, 3, 93, 81, 97, 85, 101, 95
 0x7f9a0f800140, 2, 85, 79, 89, 83, 92, 85
 0x7f9a0f800180, 1, 91, 87, 96, 91, 100, 94
 0x7f9a0f8001c0, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f800200, 7, 93, 79, 97, 85, 100, 95
 0x7f9a0f800240, 6, 83, 79, 87, 81, 90, 85
 0x7f9a0f800280, 5, 91, 87, 97, 91, 107, 94
 0x7f9a0f8002c0, 4, 93, 85, 98, 87, 102, 91
 0x7f9a0f800300, 3, 93, 79, 97, 85, 101, 88
 0x7f9a0f800340, 2, 85, 79, 89, 83, 92, 86
 0x7f9a0f800380, 1, 91, 87, 96, 91, 101, 94
 0x7f9a0f8003c0, 0, 95, 85, 99, 89, 103, 99
 0x7f9a0f800400, 6, 83, 79, 87, 81, 91, 85
 0x7f9a0f800440, 7, 91, 79, 97, 83, 100, 87
 0x7f9a0f800480, 4, 94, 83, 99, 88, 102, 98
 0x7f9a0f8004c0, 5, 92, 87, 97, 91, 101, 93
 0x7f9a0f800500, 2, 85, 79, 89, 83, 99, 86
 0x7f9a0f800540, 3, 93, 81, 97, 85, 107, 89
 0x7f9a0f800580, 0, 95, 84, 99, 89, 103, 91
 0x7f9a0f8005c0, 1, 91, 87, 96, 91, 99, 93
 0x7f9a0f800600, 6, 83, 77, 87, 81, 91, 86
 0x7f9a0f800640, 7, 91, 79, 95, 83, 100, 87
 0x7f9a0f800680, 4, 95, 83, 99, 87, 102, 92
 0x7f9a0f8006c0, 5, 92, 85, 95, 90, 99, 93
 0x7f9a0f800700, 2, 83, 77, 88, 83, 92, 86
 0x7f9a0f800740, 3, 93, 81, 96, 85, 100, 89
 0x7f9a0f800780, 0, 95, 85, 99, 89, 103, 92
 0x7f9a0f8007c0, 1, 93, 87, 97, 91, 100, 94
 0x7f9a0f800800, 5, 91, 87, 97, 91, 107, 100
 0x7f9a0f800840, 4, 93, 83, 98, 88, 102, 91
 0x7f9a0f800880, 7, 91, 79, 97, 83, 101, 87
 0x7f9a0f8008c0, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f800900, 1, 91, 87, 97, 91, 100, 93
 0x7f9a0f800940, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f800980, 3, 93, 79, 97, 85, 108, 89
 0x7f9a0f8009c0, 2, 83, 79, 87, 83, 92, 86
 0x7f9a0f800a00, 5, 91, 87, 97, 91, 100, 94
 0x7f9a0f800a40, 4, 93, 83, 98, 87, 103, 91
 0x7f9a0f800a80, 7, 92, 79, 97, 84, 101, 87
 0x7f9a0f800ac0, 6, 83, 79, 87, 83, 91, 91
 0x7f9a0f800b00, 1, 91, 87, 97, 91, 100, 93
 0x7f9a0f800b40, 0, 93, 85, 99, 89, 103, 91
 0x7f9a0f800b80, 3, 92, 81, 97, 85, 101, 88
 0x7f9a0f800bc0, 2, 83, 79, 87, 83, 92, 86
 0x7f9a0f800c00, 4, 95, 83, 99, 87, 102, 91
 0x7f9a0f800c40, 5, 92, 85, 97, 89, 105, 93
 0x7f9a0f800c80, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f800cc0, 7, 91, 81, 97, 83, 100, 88
 0x7f9a0f800d00, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f800d40, 1, 93, 87, 97, 91, 100, 93
 0x7f9a0f800d80, 2, 83, 79, 89, 83, 91, 86
 0x7f9a0f800dc0, 3, 93, 81, 98, 85, 102, 88
 0x7f9a0f800e00, 4, 93, 83, 97, 87, 102, 91
 0x7f9a0f800e40, 5, 93, 85, 97, 91, 100, 94
 0x7f9a0f800e80, 6, 83, 79, 87, 81, 91, 85
 0x7f9a0f800ec0, 7, 91, 81, 97, 83, 101, 87
 0x7f9a0f800f00, 0, 95, 85, 100, 89, 104, 99
 0x7f9a0f800f40, 1, 91, 85, 96, 89, 100, 93
 0x7f9a0f800f80, 2, 83, 79, 89, 83, 99, 86
 0x7f9a0f800fc0, 3, 93, 81, 99, 85, 109, 89
 0x7f9a0f801000, 2, 83, 79, 89, 83, 91, 93
 0x7f9a0f801040, 3, 93, 81, 98, 85, 108, 87
 0x7f9a0f801080, 0, 95, 85, 106, 89, 112, 99
 0x7f9a0f8010c0, 1, 92, 86, 97, 91, 100, 94
 0x7f9a0f801100, 6, 83, 77, 87, 81, 97, 85
 0x7f9a0f801140, 7, 91, 81, 95, 84, 100, 93
 0x7f9a0f801180, 4, 94, 83, 99, 87, 102, 91
 0x7f9a0f8011c0, 5, 92, 87, 97, 91, 107, 93
 0x7f9a0f801200, 2, 83, 77, 89, 83, 101, 86
 0x7f9a0f801240, 3, 93, 81, 96, 85, 101, 95
 0x7f9a0f801280, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f8012c0, 1, 91, 85, 97, 90, 107, 94
 0x7f9a0f801300, 6, 83, 79, 89, 81, 99, 85
 0x7f9a0f801340, 7, 92, 79, 97, 84, 108, 93
 0x7f9a0f801380, 4, 95, 83, 99, 87, 110, 91
 0x7f9a0f8013c0, 5, 93, 87, 97, 91, 107, 95
 0x7f9a0f801400, 3, 92, 81, 97, 85, 108, 88
 0x7f9a0f801440, 2, 85, 79, 89, 83, 92, 93
 0x7f9a0f801480, 1, 91, 87, 96, 91, 100, 93
 0x7f9a0f8014c0, 0, 95, 85, 99, 89, 110, 99
 0x7f9a0f801500, 7, 93, 79, 104, 91, 109, 97
 0x7f9a0f801540, 6, 89, 79, 93, 88, 99, 92
 0x7f9a0f801580, 5, 99, 93, 104, 97, 108, 107
 0x7f9a0f8015c0, 4, 102, 89, 106, 95, 111, 178
 0x7f9a0f801600, 3, 101, 88, 105, 91, 109, 95
 0x7f9a0f801640, 2, 91, 86, 95, 89, 100, 172
 0x7f9a0f801680, 1, 99, 93, 103, 97, 108, 101
 0x7f9a0f8016c0, 0, 103, 85, 107, 89, 111, 176
 0x7f9a0f801700, 7, 93, 87, 104, 91, 109, 172
 0x7f9a0f801740, 6, 85, 79, 94, 81, 99, 85
 0x7f9a0f801780, 5, 91, 85, 97, 91, 108, 101
 0x7f9a0f8017c0, 4, 93, 83, 97, 87, 101, 91
 0x7f9a0f801800, 0, 95, 85, 100, 89, 110, 91
 0x7f9a0f801840, 1, 93, 87, 97, 91, 107, 94
 0x7f9a0f801880, 2, 83, 79, 89, 83, 92, 92
 0x7f9a0f8018c0, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f801900, 4, 93, 83, 99, 87, 109, 91
 0x7f9a0f801940, 5, 92, 87, 96, 91, 100, 101
 0x7f9a0f801980, 6, 83, 79, 87, 81, 91, 86
 0x7f9a0f8019c0, 7, 91, 81, 95, 83, 99, 87
 0x7f9a0f801a00, 0, 95, 83, 99, 89, 111, 93
 0x7f9a0f801a40, 1, 93, 87, 97, 91, 100, 100
 0x7f9a0f801a80, 2, 83, 79, 89, 83, 92, 101
 0x7f9a0f801ac0, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f801b00, 4, 95, 83, 106, 88, 114, 91
 0x7f9a0f801b40, 5, 93, 85, 97, 91, 107, 104
 0x7f9a0f801b80, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f801bc0, 7, 91, 79, 95, 85, 100, 253
 0x7f9a0f801c00, 1, 93, 87, 97, 91, 122, 94
 0x7f9a0f801c40, 0, 95, 83, 99, 89, 109, 99
 0x7f9a0f801c80, 3, 91, 81, 97, 85, 101, 89
 0x7f9a0f801cc0, 2, 83, 79, 87, 83, 91, 87
 0x7f9a0f801d00, 5, 91, 87, 97, 91, 100, 93
 0x7f9a0f801d40, 4, 93, 85, 99, 87, 102, 91
 0x7f9a0f801d80, 7, 91, 81, 97, 84, 100, 87
 0x7f9a0f801dc0, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f801e00, 1, 91, 87, 97, 91, 101, 95
 0x7f9a0f801e40, 0, 94, 85, 99, 89, 103, 91
 0x7f9a0f801e80, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f801ec0, 2, 85, 77, 89, 83, 99, 86
 0x7f9a0f801f00, 5, 92, 85, 97, 91, 100, 94
 0x7f9a0f801f40, 4, 93, 85, 99, 87, 103, 91
 0x7f9a0f801f80, 7, 92, 81, 96, 83, 100, 88
 0x7f9a0f801fc0, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f802000, 1, 93, 85, 97, 89, 105, 93
