 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 93, 81, 98, 85, 115, 89
 85, 79, 89, 83, 101, 87
 93, 87, 98, 91, 108, 95
 95, 85, 99, 89, 107, 99
 95, 83, 99, 86, 111, 90
 85, 81, 90, 85, 93, 87
 93, 89, 97, 91, 101, 96
 95, 86, 101, 90, 105, 94
 92, 81, 97, 85, 101, 89
 83, 79, 89, 83, 93, 87
 93, 87, 97, 91, 102, 95
 94, 85, 99, 89, 104, 92
 95, 83, 99, 87, 109, 89
 85, 81, 91, 85, 94, 88
 93, 87, 99, 91, 102, 95
 97, 85, 101, 90, 105, 93
 85, 79, 89, 83, 93, 87
 93, 83, 98, 85, 102, 88
 95, 85, 99, 89, 103, 93
 93, 87, 98, 92, 102, 95
 85, 81, 90, 85, 94, 87
 93, 83, 98, 86, 102, 89
 97, 85, 101, 90, 105, 93
 93, 89, 97, 92, 101, 95
 85, 79, 89, 83, 93, 87
 93, 83, 105, 92, 117, 102
 95, 85, 99, 89, 103, 93
 93, 89, 99, 92, 109, 95
 85, 81, 91, 85, 94, 93
 93, 83, 99, 87, 103, 89
 96, 85, 101, 90, 113, 93
 93, 87, 98, 92, 108, 95
 93, 88, 97, 91, 108, 95
 95, 85, 100, 89, 104, 99
 93, 81, 97, 85, 101, 89
 85, 77, 89, 83, 99, 87
 93, 87, 105, 92, 261, 103
 95, 87, 101, 91, 104, 101
 93, 81, 99, 87, 102, 89
 85, 79, 91, 85, 105, 87
 93, 87, 97, 91, 108, 94
 94, 85, 99, 89, 103, 99
 93, 83, 97, 85, 101, 88
 85, 79, 89, 83, 99, 87
 93, 89, 97, 91, 101, 103
 95, 87, 101, 91, 105, 94
 94, 83, 99, 86, 102, 89
 85, 79, 91, 83, 101, 93
 95, 85, 101, 89, 148, 99
 93, 88, 97, 92, 103, 101
 85, 79, 89, 83, 93, 87
 93, 81, 97, 85, 102, 89
 97, 87, 101, 90, 109, 94
 93, 89, 97, 91, 103, 95
 85, 81, 90, 85, 93, 87
 93, 83, 99, 86, 105, 89
 95, 85, 99, 89, 103, 93
 93, 89, 97, 92, 102, 95
 85, 79, 89, 83, 93, 87
 93, 81, 97, 85, 102, 89
 97, 87, 101, 90, 105, 94
 93, 89, 97, 92, 101, 96
 85, 81, 90, 85, 93, 87
 93, 81, 99, 86, 102, 89
 85, 81, 89, 85, 93, 87
 93, 83, 99, 86, 103, 89
 97, 87, 101, 90, 105, 93
 93, 89, 97, 92, 103, 95
 85, 79, 89, 83, 93, 98
 93, 81, 98, 85, 107, 89
 95, 85, 100, 89, 103, 95
 93, 87, 97, 91, 102, 95
 85, 81, 89, 84, 94, 87
 95, 83, 99, 86, 102, 90
 97, 87, 101, 91, 105, 93
 93, 89, 98, 92, 107, 95
 85, 79, 89, 83, 93, 87
 93, 81, 98, 85, 102, 88
 95, 85, 100, 89, 103, 92
 93, 87, 97, 93, 102, 95
 93, 81, 99, 86, 102, 95
 85, 81, 90, 85, 93, 87
 93, 88, 97, 91, 111, 95
 95, 85, 101, 89, 105, 93
 93, 81, 97, 85, 101, 89
 83, 79, 89, 83, 93, 87
 93, 89, 97, 92, 101, 95
 95, 85, 100, 91, 103, 105
 94, 81, 99, 86, 110, 95
 85, 81, 90, 85, 93, 87
 93, 87, 97, 91, 101, 95
 95, 85, 101, 91, 105, 98
 93, 81, 97, 85, 101, 89
 85, 79, 89, 83, 92, 86
 93, 89, 97, 91, 102, 95
 95, 85, 100, 89, 103, 92
 95, 87, 101, 90, 104, 93
 93, 89, 97, 92, 103, 95
 85, 81, 90, 85, 93, 87
 93, 83, 99, 86, 102, 89
 95, 85, 100, 89, 108, 93
 93, 89, 98, 91, 102, 95
 85, 79, 89, 83, 94, 91
 93, 81, 97, 85, 102, 88
 97, 87, 101, 91, 112, 93
 93, 87, 98, 91, 106, 95
 85, 81, 91, 85, 93, 87
 93, 83, 99, 86, 102, 89
 95, 85, 99, 89, 111, 91
 93, 87, 99, 91, 101, 95
 85, 79, 89, 83, 93, 87
 93, 81, 97, 85, 108, 89
 93, 87, 98, 91, 109, 102
 95, 87, 100, 91, 104, 101
 95, 83, 99, 87, 118, 90
 85, 81, 90, 85, 101, 88
 93, 87, 98, 91, 109, 101
 95, 85, 100, 89, 107, 92
 93, 81, 98, 85, 105, 89
 83, 79, 88, 83, 97, 87
 93, 87, 97, 91, 103, 95
 95, 87, 101, 90, 107, 94
 95, 83, 99, 87, 107, 89
 85, 81, 90, 85, 97, 88
 93, 87, 97, 91, 105, 95
 95, 85, 101, 89, 105, 92
 93, 81, 98, 85, 105, 88
 85, 79, 89, 83, 95, 87
 93, 88, 98, 91, 105, 95
 96, 87, 101, 90, 107, 94
 94, 83, 99, 87, 107, 89
 85, 81, 89, 85, 97, 93
 94, 87, 99, 91, 105, 95
 95, 85, 100, 89, 105, 91
 93, 81, 97, 85, 109, 88
 83, 79, 89, 83, 96, 87
 93, 89, 97, 91, 108, 95
 95, 87, 101, 91, 110, 93
 95, 81, 99, 86, 109, 95
 85, 79, 90, 84, 97, 87
 93, 89, 98, 91, 107, 95
 94, 85, 100, 89, 107, 92
 93, 81, 97, 85, 107, 99
 83, 79, 88, 83, 97, 87
 96, 87, 101, 90, 109, 95
 93, 87, 97, 92, 103, 96
 85, 81, 91, 85, 95, 88
 95, 83, 99, 86, 107, 89
 95, 85, 99, 89, 107, 93
 93, 87, 97, 93, 105, 96
 85, 79, 89, 83, 95, 86
 92, 81, 97, 85, 104, 88
 95, 87, 101, 90, 109, 95
 93, 87, 98, 91, 107, 95
 85, 81, 89, 85, 96, 87
 94, 83, 99, 86, 106, 90
 95, 85, 99, 89, 107, 93
 93, 89, 97, 92, 105, 95
 85, 79, 89, 83, 97, 87
 93, 81, 99, 85, 105, 91
 93, 81, 97, 87, 105, 89
 85, 79, 90, 85, 101, 87
 93, 89, 98, 91, 105, 95
 96, 86, 102, 91, 286, 101
 93, 81, 98, 85, 107, 88
 83, 79, 88, 83, 95, 87
 93, 89, 98, 91, 111, 95
 95, 85, 100, 89, 105, 99
 95, 81, 99, 85, 113, 89
 85, 79, 90, 85, 97, 87
 93, 87, 98, 91, 108, 95
 95, 85, 100, 89, 107, 100
 93, 81, 98, 85, 105, 88
 85, 79, 89, 83, 97, 87
 93, 87, 97, 91, 107, 94
 95, 85, 99, 89, 105, 93
 85, 81, 91, 85, 105, 87
 95, 83, 99, 86, 110, 90
 97, 87, 101, 91, 107, 94
 93, 89, 97, 91, 103, 102
 83, 81, 89, 83, 95, 87
 93, 81, 97, 85, 108, 89
 95, 85, 101, 89, 110, 99
 93, 87, 98, 91, 105, 95
 85, 81, 89, 85, 97, 87
 93, 83, 99, 85, 109, 89
 97, 85, 101, 91, 108, 129
 93, 87, 99, 92, 103, 95
 85, 79, 89, 83, 95, 87
 93, 81, 97, 85, 105, 88
 95, 85, 100, 89, 107, 100
 93, 89, 98, 93, 107, 95
 95, 85, 101, 89, 115, 92
 93, 89, 98, 92, 109, 95
 85, 79, 89, 83, 99, 93
 93, 81, 97, 85, 103, 88
 95, 87, 101, 90, 112, 93
 93, 89, 97, 92, 108, 95
 85, 81, 90, 85, 97, 89
 95, 83, 99, 86, 106, 89
 95, 85, 100, 89, 107, 92
 93, 89, 97, 93, 109, 101
 85, 79, 89, 83, 97, 87
 93, 81, 97, 85, 105, 89
