Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7f323a600000, 91, 108, 101, 79, 87, 83
0x7f323a600040, 83, 97, 87, 77, 91, 81
0x7f323a600080, 92, 99, 95, 85, 93, 89
0x7f323a6000c0, 93, 108, 97, 83, 89, 87
0x7f323a600100, 93, 102, 98, 81, 93, 83
0x7f323a600140, 83, 99, 87, 79, 85, 81
0x7f323a600180, 92, 106, 95, 85, 101, 95
0x7f323a6001c0, 95, 109, 99, 85, 97, 87
0x7f323a600200, 92, 99, 95, 79, 85, 83
0x7f323a600240, 83, 91, 87, 77, 83, 81
0x7f323a600280, 92, 99, 95, 85, 92, 89
0x7f323a6002c0, 93, 101, 97, 83, 90, 87
0x7f323a600300, 92, 106, 95, 81, 87, 83
0x7f323a600340, 83, 93, 89, 79, 85, 81
0x7f323a600380, 92, 99, 95, 85, 91, 89
0x7f323a6003c0, 95, 103, 99, 85, 91, 87
0x7f323a600400, 83, 91, 87, 77, 84, 81
0x7f323a600440, 91, 99, 95, 79, 85, 83
0x7f323a600480, 93, 109, 97, 83, 95, 87
0x7f323a6004c0, 93, 101, 97, 85, 92, 89
0x7f323a600500, 83, 91, 87, 79, 91, 81
0x7f323a600540, 93, 100, 95, 81, 93, 83
0x7f323a600580, 95, 103, 98, 83, 91, 87
0x7f323a6005c0, 91, 113, 95, 85, 92, 89
0x7f323a600600, 83, 89, 85, 77, 89, 81
0x7f323a600640, 91, 100, 95, 79, 86, 83
0x7f323a600680, 93, 107, 97, 83, 89, 87
0x7f323a6006c0, 91, 99, 95, 85, 98, 89
0x7f323a600700, 83, 91, 87, 79, 85, 81
0x7f323a600740, 92, 106, 95, 81, 87, 83
0x7f323a600780, 95, 109, 102, 85, 91, 87
0x7f323a6007c0, 91, 108, 102, 85, 99, 89
0x7f323a600800, 92, 107, 95, 85, 93, 89
0x7f323a600840, 93, 110, 103, 83, 90, 87
0x7f323a600880, 91, 108, 95, 79, 93, 83
0x7f323a6008c0, 83, 97, 87, 77, 83, 81
0x7f323a600900, 92, 107, 95, 85, 99, 89
0x7f323a600940, 95, 108, 99, 85, 91, 87
0x7f323a600980, 92, 99, 95, 81, 86, 83
0x7f323a6009c0, 83, 97, 87, 79, 85, 81
0x7f323a600a00, 92, 100, 97, 85, 93, 89
0x7f323a600a40, 93, 103, 99, 83, 90, 87
0x7f323a600a80, 91, 105, 95, 79, 86, 83
0x7f323a600ac0, 83, 97, 86, 77, 88, 81
0x7f323a600b00, 92, 99, 95, 85, 93, 89
0x7f323a600b40, 94, 290, 100, 85, 99, 89
0x7f323a600b80, 92, 108, 96, 81, 87, 83
0x7f323a600bc0, 83, 91, 87, 79, 91, 81
0x7f323a600c00, 93, 102, 97, 83, 90, 87
0x7f323a600c40, 91, 105, 95, 85, 93, 89
0x7f323a600c80, 83, 89, 85, 77, 91, 81
0x7f323a600cc0, 91, 99, 95, 79, 86, 83
0x7f323a600d00, 95, 109, 98, 83, 91, 87
0x7f323a600d40, 91, 99, 95, 85, 99, 89
0x7f323a600d80, 83, 93, 89, 79, 85, 81
0x7f323a600dc0, 92, 106, 95, 81, 95, 83
0x7f323a600e00, 93, 109, 97, 83, 89, 87
0x7f323a600e40, 91, 99, 95, 85, 92, 89
0x7f323a600e80, 83, 91, 85, 77, 83, 81
0x7f323a600ec0, 91, 105, 95, 79, 89, 83
0x7f323a600f00, 95, 103, 99, 85, 91, 87
0x7f323a600f40, 91, 106, 95, 85, 92, 89
0x7f323a600f80, 83, 99, 87, 79, 85, 81
0x7f323a600fc0, 92, 99, 95, 81, 87, 83
0x7f323a601000, 83, 97, 87, 79, 85, 81
0x7f323a601040, 93, 107, 98, 81, 93, 83
0x7f323a601080, 94, 101, 98, 83, 91, 87
0x7f323a6010c0, 91, 100, 95, 85, 92, 89
0x7f323a601100, 83, 91, 85, 77, 83, 81
0x7f323a601140, 91, 108, 101, 79, 91, 83
0x7f323a601180, 93, 101, 97, 83, 90, 87
0x7f323a6011c0, 91, 105, 95, 85, 92, 89
0x7f323a601200, 83, 90, 87, 79, 85, 81
0x7f323a601240, 93, 102, 97, 81, 87, 83
0x7f323a601280, 95, 110, 99, 83, 91, 87
0x7f323a6012c0, 92, 99, 95, 85, 92, 89
0x7f323a601300, 83, 89, 85, 77, 83, 81
0x7f323a601340, 91, 105, 95, 79, 85, 83
0x7f323a601380, 93, 102, 97, 83, 90, 87
0x7f323a6013c0, 91, 107, 95, 85, 99, 89
0x7f323a601400, 93, 101, 97, 81, 87, 83
0x7f323a601440, 83, 99, 88, 79, 89, 81
0x7f323a601480, 92, 99, 95, 85, 91, 89
0x7f323a6014c0, 95, 110, 98, 85, 91, 87
0x7f323a601500, 91, 100, 95, 79, 93, 83
0x7f323a601540, 83, 91, 85, 77, 83, 81
0x7f323a601580, 92, 105, 95, 85, 91, 89
0x7f323a6015c0, 93, 101, 97, 83, 89, 87
0x7f323a601600, 93, 101, 96, 81, 87, 83
0x7f323a601640, 83, 99, 87, 79, 93, 81
0x7f323a601680, 92, 110, 95, 85, 99, 89
0x7f323a6016c0, 94, 102, 98, 85, 91, 87
0x7f323a601700, 91, 105, 95, 79, 85, 83
0x7f323a601740, 83, 90, 87, 77, 89, 81
0x7f323a601780, 92, 100, 95, 85, 93, 89
0x7f323a6017c0, 93, 107, 97, 83, 90, 87
0x7f323a601800, 95, 104, 99, 83, 97, 87
0x7f323a601840, 91, 100, 95, 85, 92, 89
0x7f323a601880, 83, 97, 87, 79, 85, 81
0x7f323a6018c0, 92, 100, 95, 81, 93, 83
0x7f323a601900, 93, 103, 97, 83, 89, 87
0x7f323a601940, 91, 105, 95, 85, 92, 89
0x7f323a601980, 83, 91, 86, 77, 91, 81
0x7f323a6019c0, 91, 99, 95, 79, 85, 83
0x7f323a601a00, 95, 109, 98, 85, 91, 87
0x7f323a601a40, 91, 107, 97, 85, 99, 89
0x7f323a601a80, 83, 91, 87, 79, 85, 81
0x7f323a601ac0, 92, 107, 95, 81, 87, 83
0x7f323a601b00, 93, 102, 97, 83, 97, 87
0x7f323a601b40, 93, 100, 95, 85, 92, 89
0x7f323a601b80, 83, 96, 85, 77, 84, 81
0x7f323a601bc0, 91, 99, 95, 79, 93, 83
0x7f323a601c00, 93, 100, 95, 85, 92, 89
0x7f323a601c40, 95, 109, 98, 85, 91, 87
0x7f323a601c80, 92, 99, 96, 81, 86, 83
0x7f323a601cc0, 83, 93, 87, 79, 85, 81
0x7f323a601d00, 92, 99, 95, 85, 91, 89
0x7f323a601d40, 93, 103, 97, 83, 90, 87
0x7f323a601d80, 91, 99, 95, 79, 86, 83
0x7f323a601dc0, 83, 89, 86, 77, 88, 81
0x7f323a601e00, 92, 99, 95, 85, 91, 89
0x7f323a601e40, 93, 103, 98, 85, 91, 87
0x7f323a601e80, 93, 100, 96, 81, 87, 83
0x7f323a601ec0, 83, 91, 87, 79, 85, 81
0x7f323a601f00, 92, 107, 95, 85, 92, 89
0x7f323a601f40, 93, 103, 99, 83, 97, 87
0x7f323a601f80, 91, 101, 95, 79, 86, 83
0x7f323a601fc0, 83, 95, 87, 77, 83, 81
0x7f323a602000, 92, 100, 95, 85, 91, 89
0x7f323a602040, 95, 103, 99, 85, 91, 87
0x7f323a602080, 93, 100, 96, 81, 87, 83
0x7f323a6020c0, 83, 97, 89, 79, 91, 81
0x7f323a602100, 92, 100, 95, 85, 92, 89
0x7f323a602140, 93, 108, 97, 83, 90, 87
0x7f323a602180, 91, 99, 95, 79, 85, 83
0x7f323a6021c0, 83, 91, 87, 77, 84, 81
0x7f323a602200, 93, 105, 95, 85, 93, 89
0x7f323a602240, 95, 103, 99, 85, 91, 87
0x7f323a602280, 92, 107, 95, 81, 87, 83
0x7f323a6022c0, 83, 91, 87, 79, 85, 81
0x7f323a602300, 92, 100, 95, 85, 93, 89
0x7f323a602340, 93, 103, 98, 83, 90, 87
0x7f323a602380, 91, 100, 95, 79, 85, 83
0x7f323a6023c0, 83, 89, 85, 77, 84, 81
0x7f323a602400, 94, 108, 98, 83, 91, 87
0x7f323a602440, 91, 101, 95, 85, 91, 89
0x7f323a602480, 83, 90, 87, 77, 85, 81
0x7f323a6024c0, 93, 101, 96, 81, 86, 83
0x7f323a602500, 93, 101, 97, 83, 91, 87
0x7f323a602540, 91, 100, 95, 85, 92, 89
0x7f323a602580, 83, 97, 87, 77, 84, 81
0x7f323a6025c0, 91, 105, 95, 79, 93, 83
0x7f323a602600, 95, 103, 98, 85, 90, 87
0x7f323a602640, 91, 105, 95, 85, 92, 89
0x7f323a602680, 83, 91, 87, 79, 89, 81
0x7f323a6026c0, 93, 101, 97, 81, 86, 83
0x7f323a602700, 93, 111, 100, 83, 90, 87
0x7f323a602740, 91, 100, 95, 85, 99, 89
0x7f323a602780, 83, 89, 85, 77, 83, 81
0x7f323a6027c0, 91, 105, 95, 79, 86, 83
0x7f323a602800, 92, 100, 96, 81, 93, 83
0x7f323a602840, 83, 91, 87, 79, 85, 81
0x7f323a602880, 92, 105, 95, 85, 91, 89
0x7f323a6028c0, 95, 103, 98, 85, 97, 87
0x7f323a602900, 91, 100, 95, 79, 86, 83
0x7f323a602940, 81, 97, 86, 77, 94, 81
0x7f323a602980, 92, 101, 95, 85, 99, 89
0x7f323a6029c0, 93, 102, 97, 83, 90, 87
0x7f323a602a00, 92, 107, 96, 81, 87, 83
0x7f323a602a40, 83, 91, 87, 79, 91, 81
0x7f323a602a80, 92, 107, 95, 85, 99, 91
0x7f323a602ac0, 95, 109, 99, 85, 91, 87
0x7f323a602b00, 92, 99, 95, 79, 93, 83
0x7f323a602b40, 83, 90, 87, 77, 83, 81
0x7f323a602b80, 92, 107, 95, 85, 92, 89
0x7f323a602bc0, 93, 109, 97, 83, 97, 87
0x7f323a602c00, 83, 93, 87, 79, 85, 81
0x7f323a602c40, 93, 106, 96, 81, 87, 83
0x7f323a602c80, 95, 103, 99, 83, 99, 87
0x7f323a602cc0, 91, 100, 95, 85, 91, 89
0x7f323a602d00, 83, 96, 86, 77, 83, 81
0x7f323a602d40, 91, 107, 97, 79, 91, 83
0x7f323a602d80, 93, 100, 97, 83, 90, 87
0x7f323a602dc0, 91, 105, 95, 85, 92, 89
0x7f323a602e00, 83, 97, 87, 79, 85, 81
0x7f323a602e40, 93, 100, 96, 81, 87, 83
0x7f323a602e80, 94, 110, 98, 83, 91, 87
0x7f323a602ec0, 91, 105, 95, 85, 98, 89
0x7f323a602f00, 83, 91, 87, 77, 83, 81
0x7f323a602f40, 91, 106, 95, 79, 86, 83
0x7f323a602f80, 94, 101, 97, 83, 97, 87
0x7f323a602fc0, 91, 105, 95, 85, 92, 89
0x7f323a603000, 93, 107, 97, 83, 89, 87
0x7f323a603040, 91, 105, 95, 85, 92, 89
0x7f323a603080, 83, 91, 86, 77, 83, 81
0x7f323a6030c0, 91, 105, 95, 79, 85, 83
0x7f323a603100, 95, 108, 98, 83, 91, 87
0x7f323a603140, 91, 100, 95, 85, 92, 89
