hmin3, hmax3, hmed3, mmin3, mmax3, mmed3
89, 115, 99, 81, 105, 91
93, 114, 100, 81, 87, 83
83, 97, 87, 81, 87, 85
83, 93, 89, 81, 93, 85
89, 97, 93, 81, 87, 85
91, 106, 95, 81, 88, 85
83, 91, 87, 81, 95, 85
87, 93, 89, 81, 88, 85
89, 102, 93, 81, 87, 85
91, 100, 95, 81, 95, 85
83, 91, 86, 81, 88, 85
83, 97, 89, 81, 88, 85
89, 98, 93, 81, 95, 85
91, 99, 95, 81, 97, 91
83, 99, 87, 81, 87, 85
85, 93, 89, 81, 94, 85
91, 100, 95, 81, 87, 83
89, 103, 93, 81, 88, 85
85, 91, 88, 81, 95, 85
83, 91, 87, 81, 88, 85
92, 106, 95, 81, 88, 85
89, 99, 93, 81, 95, 85
85, 93, 89, 81, 87, 85
83, 98, 87, 81, 88, 85
92, 100, 95, 81, 93, 84
90, 98, 94, 81, 88, 85
85, 99, 89, 81, 87, 84
81, 91, 85, 81, 95, 85
92, 99, 95, 81, 89, 85
89, 103, 93, 81, 88, 85
85, 93, 89, 81, 94, 85
83, 91, 87, 81, 87, 85
83, 97, 86, 81, 88, 85
85, 94, 91, 81, 87, 85
89, 103, 93, 81, 88, 85
91, 106, 95, 81, 87, 83
83, 91, 87, 81, 88, 85
85, 101, 89, 81, 88, 85
89, 113, 99, 81, 89, 85
91, 100, 95, 81, 95, 85
83, 91, 87, 81, 88, 85
85, 99, 90, 81, 87, 85
89, 96, 92, 81, 97, 89
91, 99, 95, 81, 87, 83
83, 99, 87, 81, 88, 85
85, 95, 89, 81, 93, 85
89, 103, 93, 81, 87, 85
91, 105, 95, 81, 88, 85
85, 93, 89, 81, 87, 85
83, 95, 86, 81, 87, 85
91, 105, 95, 81, 94, 84
89, 96, 93, 81, 87, 84
85, 99, 89, 81, 88, 85
83, 93, 87, 81, 95, 85
93, 101, 97, 81, 89, 85
89, 103, 93, 81, 88, 85
85, 93, 89, 81, 94, 85
83, 91, 87, 81, 88, 85
91, 107, 95, 81, 87, 83
89, 96, 92, 81, 95, 85
85, 93, 89, 81, 87, 85
83, 97, 87, 81, 89, 85
92, 100, 95, 81, 94, 85
89, 97, 93, 81, 95, 85
92, 107, 95, 81, 88, 85
89, 104, 93, 81, 95, 85
85, 94, 89, 81, 87, 84
83, 97, 87, 81, 88, 85
91, 99, 95, 81, 93, 84
89, 96, 93, 81, 87, 85
85, 99, 89, 81, 88, 85
83, 90, 87, 81, 94, 85
92, 100, 95, 81, 88, 85
89, 105, 93, 81, 87, 85
85, 95, 89, 81, 95, 85
83, 102, 87, 81, 105, 85
92, 107, 96, 81, 87, 83
89, 99, 95, 81, 95, 85
85, 93, 89, 81, 88, 85
83, 95, 85, 81, 88, 85
89, 98, 93, 81, 95, 85
91, 101, 95, 81, 89, 85
83, 98, 87, 81, 87, 85
86, 95, 89, 81, 94, 85
89, 96, 93, 81, 87, 85
91, 107, 95, 81, 87, 83
83, 91, 87, 81, 94, 85
85, 93, 89, 81, 88, 85
89, 105, 99, 81, 88, 85
91, 100, 95, 81, 95, 85
83, 92, 87, 81, 88, 85
85, 259, 89, 81, 87, 85
89, 96, 92, 81, 93, 85
93, 101, 97, 81, 88, 84
83, 97, 87, 81, 88, 85
85, 93, 89, 81, 88, 85
85, 99, 89, 81, 87, 85
