Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0,hmin1, hmax1, hmed1, mmin1, mmax1, mmed1,hmin2, hmax2, hmed2, mmin2, mmax2, mmed2,hmin3, hmax3, hmed3, mmin3, mmax3, mmed3,hmin4, hmax4, hmed4, mmin4, mmax4, mmed4,hmin5, hmax5, hmed5, mmin5, mmax5, mmed5,hmin6, hmax6, hmed6, mmin6, mmax6, mmed6,hmin7, hmax7, hmed7, mmin7, mmax7, mmed7,
0x7f323a600000, 91, 108, 101, 79, 87, 83,83, 105, 88, 79, 85, 81,89, 109, 98, 87, 95, 89,89, 115, 99, 81, 105, 91,93, 154, 99, 81, 87, 83,83, 107, 91, 81, 104, 89,89, 112, 95, 83, 105, 90,90, 111, 99, 83, 89, 85,
0x7f323a600040, 83, 97, 87, 77, 91, 81,85, 99, 89, 79, 85, 81,91, 107, 100, 81, 95, 90,93, 114, 100, 81, 87, 83,85, 99, 88, 79, 85, 81,87, 112, 96, 79, 94, 83,91, 138, 99, 81, 88, 85,93, 109, 97, 83, 95, 85,
0x7f323a600080, 92, 99, 95, 85, 93, 89,89, 97, 93, 85, 91, 87,93, 101, 95, 89, 97, 93,83, 97, 87, 81, 87, 85,93, 102, 97, 87, 93, 91,91, 99, 94, 85, 105, 89,87, 101, 91, 83, 91, 87,83, 97, 87, 81, 89, 85,
0x7f323a6000c0, 93, 108, 97, 83, 89, 87,91, 107, 95, 83, 89, 85,89, 99, 93, 87, 93, 90,83, 93, 89, 81, 93, 85,95, 109, 99, 85, 91, 87,93, 102, 97, 83, 91, 87,83, 93, 87, 81, 95, 85,85, 99, 90, 83, 89, 85,
0x7f323a600100, 93, 102, 98, 81, 93, 83,83, 92, 87, 79, 86, 83,95, 103, 98, 87, 95, 91,89, 97, 93, 81, 87, 85,93, 109, 99, 81, 88, 85,85, 99, 89, 81, 87, 83,89, 103, 93, 83, 89, 85,91, 104, 95, 81, 97, 85,
0x7f323a600140, 83, 99, 87, 79, 85, 81,85, 109, 89, 79, 95, 81,97, 105, 101, 87, 93, 90,91, 106, 95, 81, 88, 85,85, 93, 89, 79, 86, 83,87, 95, 91, 79, 93, 83,91, 111, 99, 81, 89, 85,93, 107, 97, 83, 89, 87,
0x7f323a600180, 92, 106, 95, 85, 101, 95,91, 103, 93, 85, 91, 89,87, 93, 89, 83, 89, 87,83, 91, 87, 81, 95, 85,93, 107, 97, 87, 93, 91,91, 100, 95, 87, 100, 90,88, 111, 99, 85, 99, 88,85, 99, 89, 83, 89, 85,
0x7f323a6001c0, 95, 109, 99, 85, 97, 87,91, 100, 95, 83, 89, 85,83, 273, 87, 81, 95, 85,87, 93, 89, 81, 88, 85,95, 109, 99, 85, 93, 89,93, 109, 97, 83, 91, 87,85, 93, 88, 81, 88, 85,87, 123, 92, 83, 101, 87,
0x7f323a600200, 92, 99, 95, 79, 85, 83,83, 97, 87, 79, 85, 81,87, 101, 91, 81, 93, 83,89, 102, 93, 81, 87, 85,92, 101, 96, 81, 87, 83,85, 91, 87, 79, 93, 83,89, 101, 91, 81, 87, 85,91, 112, 96, 83, 89, 85,
0x7f323a600240, 83, 91, 87, 77, 83, 81,85, 97, 89, 79, 93, 81,89, 97, 93, 81, 87, 83,91, 100, 95, 81, 95, 85,83, 97, 87, 79, 85, 81,87, 93, 89, 79, 87, 83,91, 100, 95, 81, 95, 85,93, 109, 97, 81, 89, 85,
0x7f323a600280, 92, 99, 95, 85, 92, 89,89, 97, 93, 85, 91, 87,85, 99, 89, 83, 89, 85,83, 91, 86, 81, 88, 85,93, 107, 98, 87, 101, 91,91, 105, 94, 85, 92, 89,87, 93, 91, 83, 97, 87,85, 97, 87, 83, 97, 86,
