Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7f73b2a00000, 114, 123, 118, 108, 115, 111
0x7f73b2a00040, 117, 126, 121, 103, 113, 107
0x7f73b2a00080, 114, 126, 120, 99, 107, 102
0x7f73b2a000c0, 102, 113, 107, 97, 105, 101
0x7f73b2a00100, 115, 123, 119, 108, 115, 111
0x7f73b2a00140, 118, 129, 123, 104, 113, 109
0x7f73b2a00180, 116, 127, 120, 101, 107, 104
0x7f73b2a001c0, 104, 117, 109, 98, 105, 101
0x7f73b2a00200, 115, 125, 119, 108, 115, 111
0x7f73b2a00240, 118, 126, 122, 103, 124, 108
0x7f73b2a00280, 115, 124, 119, 99, 109, 103
0x7f73b2a002c0, 103, 123, 108, 96, 107, 101
0x7f73b2a00300, 115, 125, 119, 108, 115, 111
0x7f73b2a00340, 114, 128, 121, 102, 109, 106
0x7f73b2a00380, 112, 123, 116, 97, 196, 101
0x7f73b2a003c0, 101, 112, 105, 94, 101, 98
0x7f73b2a00400, 114, 124, 118, 101, 109, 105
0x7f73b2a00440, 112, 121, 115, 104, 113, 108
0x7f73b2a00480, 100, 109, 104, 94, 101, 98
0x7f73b2a004c0, 111, 123, 116, 97, 103, 99
0x7f73b2a00500, 115, 130, 119, 102, 109, 106
0x7f73b2a00540, 112, 121, 115, 104, 113, 108
0x7f73b2a00580, 101, 109, 105, 94, 103, 99
0x7f73b2a005c0, 112, 132, 117, 97, 136, 101
0x7f73b2a00600, 114, 135, 118, 102, 498, 140
0x7f73b2a00640, 112, 120, 115, 104, 113, 108
0x7f73b2a00680, 97, 109, 103, 91, 99, 95
0x7f73b2a006c0, 108, 117, 111, 93, 101, 97
0x7f73b2a00700, 112, 121, 115, 100, 107, 103
0x7f73b2a00740, 108, 118, 112, 100, 109, 105
0x7f73b2a00780, 98, 109, 103, 92, 99, 95
0x7f73b2a007c0, 109, 117, 113, 94, 103, 98
0x7f73b2a00800, 108, 119, 112, 93, 101, 97
0x7f73b2a00840, 97, 105, 101, 91, 98, 95
0x7f73b2a00880, 108, 117, 112, 101, 107, 104
0x7f73b2a008c0, 110, 121, 114, 98, 117, 102
0x7f73b2a00900, 109, 134, 113, 94, 103, 97
0x7f73b2a00940, 96, 107, 101, 89, 97, 93
0x7f73b2a00980, 106, 113, 109, 98, 105, 101
0x7f73b2a009c0, 108, 117, 112, 96, 103, 99
0x7f73b2a00a00, 105, 115, 109, 90, 97, 94
0x7f73b2a00a40, 94, 104, 99, 88, 95, 91
0x7f73b2a00a80, 105, 121, 109, 98, 105, 101
0x7f73b2a00ac0, 106, 122, 111, 95, 102, 99
0x7f73b2a00b00, 106, 114, 109, 91, 119, 95
0x7f73b2a00b40, 96, 105, 99, 89, 97, 93
0x7f73b2a00b80, 106, 114, 109, 98, 105, 101
0x7f73b2a00bc0, 108, 128, 112, 96, 105, 99
0x7f73b2a00c00, 95, 101, 98, 88, 95, 91
0x7f73b2a00c40, 104, 117, 109, 90, 98, 94
0x7f73b2a00c80, 108, 123, 111, 96, 117, 99
0x7f73b2a00cc0, 102, 112, 107, 96, 103, 99
0x7f73b2a00d00, 93, 103, 97, 87, 95, 91
0x7f73b2a00d40, 103, 112, 107, 88, 95, 91
0x7f73b2a00d80, 106, 113, 109, 93, 101, 97
0x7f73b2a00dc0, 101, 111, 105, 96, 103, 99
0x7f73b2a00e00, 92, 101, 95, 86, 93, 89
0x7f73b2a00e40, 102, 111, 106, 88, 95, 91
0x7f73b2a00e80, 104, 114, 108, 93, 99, 95
0x7f73b2a00ec0, 101, 111, 106, 96, 103, 99
0x7f73b2a00f00, 93, 103, 97, 87, 95, 90
0x7f73b2a00f40, 104, 111, 107, 89, 97, 92
0x7f73b2a00f80, 105, 113, 109, 94, 101, 97
0x7f73b2a00fc0, 101, 111, 105, 95, 103, 99
0x7f73b2a01000, 106, 112, 109, 94, 101, 97
0x7f73b2a01040, 101, 111, 105, 96, 103, 99
0x7f73b2a01080, 93, 101, 97, 87, 93, 90
0x7f73b2a010c0, 102, 113, 107, 89, 97, 93
0x7f73b2a01100, 104, 113, 107, 92, 101, 96
0x7f73b2a01140, 101, 111, 105, 96, 112, 99
0x7f73b2a01180, 92, 99, 95, 86, 93, 89
