hmin1, hmax1, hmed1, mmin1, mmax1, mmed1
105, 115, 108, 100, 109, 105
112, 123, 116, 100, 109, 103
101, 111, 105, 94, 103, 99
102, 114, 108, 95, 101, 98
110, 117, 113, 104, 111, 107
112, 122, 115, 100, 109, 104
102, 109, 105, 96, 103, 99
104, 113, 108, 92, 101, 95
106, 113, 109, 100, 107, 103
108, 119, 113, 98, 105, 101
98, 108, 102, 92, 99, 95
100, 111, 104, 92, 103, 97
110, 119, 114, 104, 111, 107
108, 121, 112, 97, 105, 101
100, 111, 104, 95, 103, 99
105, 115, 109, 92, 101, 97
109, 118, 112, 98, 105, 101
105, 115, 109, 100, 106, 102
101, 110, 105, 92, 99, 95
98, 107, 101, 92, 99, 95
109, 119, 113, 97, 105, 101
106, 115, 110, 101, 108, 104
102, 109, 105, 92, 101, 95
99, 107, 103, 93, 101, 97
106, 117, 110, 95, 102, 98
102, 111, 106, 96, 103, 99
99, 107, 101, 89, 97, 93
95, 105, 99, 90, 97, 93
106, 113, 109, 95, 101, 98
104, 113, 107, 98, 105, 101
99, 109, 103, 90, 97, 93
97, 106, 100, 90, 99, 93
96, 103, 99, 90, 97, 93
97, 108, 101, 90, 97, 93
102, 111, 105, 97, 104, 99
106, 115, 110, 95, 101, 98
97, 106, 101, 91, 97, 94
99, 109, 103, 89, 97, 93
103, 113, 107, 98, 106, 101
106, 117, 110, 95, 101, 98
96, 103, 99, 89, 97, 93
98, 107, 101, 90, 97, 93
102, 111, 105, 97, 103, 99
106, 115, 109, 95, 101, 97
97, 105, 100, 91, 97, 94
99, 109, 103, 89, 97, 93
103, 110, 106, 98, 105, 101
104, 115, 108, 92, 99, 95
95, 106, 99, 90, 97, 93
95, 105, 99, 89, 97, 93
106, 117, 109, 95, 102, 98
102, 112, 106, 97, 103, 99
99, 107, 102, 90, 97, 93
96, 106, 101, 90, 98, 95
106, 116, 109, 95, 103, 99
103, 113, 107, 97, 105, 101
98, 107, 101, 89, 97, 93
96, 105, 99, 89, 97, 93
106, 116, 110, 95, 102, 97
102, 109, 105, 97, 103, 99
99, 107, 102, 90, 97, 93
93, 107, 99, 89, 95, 91
102, 112, 107, 89, 99, 95
97, 107, 101, 91, 99, 95
99, 108, 103, 89, 95, 93
98, 105, 101, 91, 99, 95
93, 101, 97, 85, 93, 87
91, 101, 95, 85, 93, 89
99, 108, 103, 89, 97, 93
97, 105, 100, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 99, 95, 85, 91, 87
99, 109, 105, 91, 97, 93
98, 120, 101, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
100, 109, 105, 92, 99, 95
99, 108, 103, 94, 101, 97
95, 103, 99, 87, 93, 90
91, 101, 95, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 103, 97, 88, 95, 91
96, 105, 100, 87, 95, 90
100, 109, 103, 94, 101, 97
102, 109, 106, 92, 99, 95
92, 101, 97, 85, 91, 87
92, 101, 97, 85, 92, 87
98, 107, 101, 93, 99, 95
99, 110, 103, 92, 99, 95
94, 103, 97, 87, 95, 91
96, 103, 99, 87, 95, 91
100, 107, 103, 94, 101, 97
102, 113, 107, 91, 99, 95
91, 97, 93, 85, 91, 87
92, 103, 97, 87, 95, 91
96, 105, 99, 87, 95, 90
93, 101, 97, 88, 95, 91
102, 113, 107, 91, 99, 95
100, 109, 103, 95, 103, 99
95, 102, 98, 87, 95, 90
89, 101, 95, 85, 93, 87
99, 109, 103, 89, 99, 95
99, 109, 103, 93, 101, 97
93, 105, 97, 85, 91, 87
91, 99, 95, 87, 95, 91
102, 113, 107, 91, 99, 95
98, 109, 102, 91, 99, 95
91, 103, 96, 87, 93, 90
93, 101, 97, 87, 95, 91
99, 111, 103, 89, 95, 92
96, 105, 100, 89, 96, 92
89, 95, 91, 83, 89, 87
91, 97, 94, 83, 89, 85
95, 103, 99, 89, 96, 93
97, 105, 101, 87, 95, 91
89, 99, 93, 85, 91, 87
92, 101, 96, 83, 91, 86
93, 103, 98, 89, 96, 92
97, 106, 101, 87, 93, 91
89, 95, 91, 83, 92, 89
93, 102, 97, 85, 91, 87
98, 105, 101, 93, 99, 95
99, 108, 103, 89, 97, 93
91, 99, 95, 85, 91, 87
91, 101, 95, 85, 91, 87
97, 104, 100, 91, 99, 95
100, 108, 104, 89, 97, 93
91, 99, 95, 85, 92, 89
93, 101, 97, 83, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 97, 93, 85, 91, 87
91, 101, 96, 85, 92, 87
97, 105, 100, 91, 98, 95
99, 109, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 102, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 91, 97, 93
91, 99, 93, 85, 91, 87
91, 101, 95, 85, 91, 87
97, 105, 100, 91, 97, 95
99, 108, 103, 89, 95, 93
93, 101, 97, 85, 91, 87
91, 98, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
97, 106, 101, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 97, 93, 85, 91, 87
99, 109, 103, 89, 95, 92
97, 106, 100, 91, 99, 95
93, 103, 97, 83, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
97, 106, 102, 91, 99, 95
93, 101, 95, 85, 93, 87
