Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7ff9b1c00000, 131, 140, 136, 123, 142, 127
0x7ff9b1c00040, 129, 144, 136, 115, 160, 119
0x7ff9b1c00080, 127, 138, 130, 109, 135, 114
0x7ff9b1c000c0, 114, 126, 120, 107, 115, 110
0x7ff9b1c00100, 127, 136, 131, 119, 127, 122
0x7ff9b1c00140, 130, 142, 136, 115, 126, 120
0x7ff9b1c00180, 127, 235, 133, 111, 120, 114
0x7ff9b1c001c0, 115, 126, 120, 107, 116, 112
0x7ff9b1c00200, 127, 137, 130, 119, 128, 122
0x7ff9b1c00240, 129, 140, 134, 111, 220, 115
0x7ff9b1c00280, 122, 133, 127, 106, 115, 109
0x7ff9b1c002c0, 110, 126, 116, 103, 122, 107
0x7ff9b1c00300, 122, 142, 126, 114, 124, 118
0x7ff9b1c00340, 122, 138, 130, 108, 117, 113
0x7ff9b1c00380, 119, 162, 124, 105, 116, 111
0x7ff9b1c003c0, 111, 128, 116, 101, 112, 107
0x7ff9b1c00400, 120, 134, 126, 108, 116, 111
0x7ff9b1c00440, 118, 129, 123, 111, 120, 114
0x7ff9b1c00480, 106, 117, 111, 99, 109, 103
0x7ff9b1c004c0, 118, 217, 123, 102, 112, 106
0x7ff9b1c00500, 122, 133, 126, 106, 117, 112
0x7ff9b1c00540, 114, 123, 119, 107, 115, 111
0x7ff9b1c00580, 104, 206, 109, 97, 195, 101
0x7ff9b1c005c0, 116, 216, 120, 99, 204, 104
0x7ff9b1c00600, 117, 128, 121, 104, 113, 108
0x7ff9b1c00640, 115, 126, 119, 107, 117, 111
0x7ff9b1c00680, 103, 201, 108, 96, 114, 101
0x7ff9b1c006c0, 114, 125, 119, 98, 107, 102
0x7ff9b1c00700, 118, 127, 122, 105, 114, 109
0x7ff9b1c00740, 114, 126, 119, 107, 498, 195
0x7ff9b1c00780, 101, 439, 107, 95, 498, 222
0x7ff9b1c007c0, 111, 490, 118, 98, 496, 190
0x7ff9b1c00800, 114, 470, 121, 99, 492, 194
0x7ff9b1c00840, 103, 492, 115, 100, 498, 271
0x7ff9b1c00880, 123, 413, 127, 114, 314, 118
0x7ff9b1c008c0, 129, 148, 134, 115, 134, 119
0x7ff9b1c00900, 127, 148, 134, 110, 164, 115
0x7ff9b1c00940, 115, 134, 119, 109, 116, 112
0x7ff9b1c00980, 123, 148, 130, 114, 137, 118
0x7ff9b1c009c0, 126, 144, 130, 111, 121, 116
0x7ff9b1c00a00, 123, 140, 127, 106, 128, 111
0x7ff9b1c00a40, 111, 127, 115, 102, 124, 107
