hmin3, hmax3, hmed3, mmin3, mmax3, mmed3
95, 105, 99, 93, 101, 96
97, 107, 101, 93, 100, 96
101, 112, 105, 93, 99, 97
104, 115, 109, 92, 99, 95
93, 103, 97, 90, 97, 93
95, 105, 99, 90, 97, 93
100, 109, 103, 90, 97, 93
102, 110, 105, 91, 97, 94
92, 101, 95, 90, 99, 93
94, 103, 97, 90, 97, 93
99, 109, 103, 91, 97, 93
101, 110, 105, 90, 97, 93
93, 101, 97, 90, 97, 93
95, 105, 99, 89, 99, 93
100, 109, 104, 91, 97, 93
102, 109, 105, 91, 97, 94
94, 103, 98, 89, 97, 93
92, 101, 95, 90, 97, 93
102, 194, 105, 90, 97, 93
98, 108, 103, 90, 99, 93
95, 103, 99, 90, 101, 93
93, 103, 97, 90, 99, 93
102, 118, 105, 91, 97, 94
97, 109, 102, 87, 97, 91
91, 99, 95, 88, 95, 91
89, 99, 93, 87, 95, 91
99, 109, 103, 87, 95, 91
95, 103, 99, 87, 95, 91
93, 105, 97, 88, 95, 91
91, 99, 95, 87, 95, 91
99, 152, 103, 89, 111, 93
97, 106, 101, 87, 95, 91
95, 107, 99, 87, 247, 91
99, 117, 103, 87, 119, 91
89, 134, 93, 87, 272, 91
92, 107, 97, 89, 105, 93
99, 110, 103, 87, 95, 91
99, 108, 103, 89, 95, 91
91, 98, 94, 87, 95, 91
93, 101, 97, 87, 95, 91
95, 105, 99, 87, 95, 91
99, 108, 103, 87, 97, 91
89, 105, 93, 88, 95, 91
91, 107, 95, 87, 95, 91
97, 106, 101, 88, 95, 91
99, 106, 103, 89, 95, 91
91, 101, 94, 89, 95, 91
93, 101, 96, 87, 95, 91
99, 109, 103, 87, 95, 91
95, 103, 99, 87, 95, 91
91, 100, 95, 87, 95, 91
89, 99, 93, 87, 95, 91
99, 107, 103, 89, 95, 91
97, 107, 101, 87, 95, 91
93, 102, 97, 87, 95, 91
91, 98, 94, 87, 95, 91
99, 107, 103, 87, 94, 91
97, 105, 99, 87, 95, 91
91, 101, 95, 87, 95, 91
89, 98, 93, 87, 95, 91
99, 110, 103, 91, 97, 94
100, 109, 104, 89, 99, 93
93, 103, 97, 87, 95, 91
91, 99, 93, 87, 95, 91
93, 102, 97, 87, 95, 91
91, 99, 94, 87, 95, 91
99, 106, 103, 89, 95, 91
97, 107, 101, 87, 97, 91
95, 103, 97, 91, 105, 94
89, 99, 95, 87, 95, 91
99, 108, 103, 87, 97, 93
98, 107, 102, 90, 98, 93
93, 103, 97, 88, 95, 91
91, 99, 95, 89, 99, 93
102, 111, 105, 91, 97, 94
97, 107, 101, 87, 95, 91
92, 101, 95, 87, 95, 91
89, 97, 93, 87, 95, 91
99, 107, 103, 87, 95, 91
96, 105, 99, 87, 95, 91
91, 99, 94, 87, 95, 91
93, 101, 97, 87, 95, 91
97, 106, 101, 87, 95, 91
99, 107, 103, 89, 95, 91
89, 99, 93, 88, 104, 91
91, 101, 96, 87, 95, 91
95, 103, 99, 87, 94, 91
99, 107, 103, 87, 95, 91
91, 99, 95, 87, 95, 91
93, 101, 96, 87, 95, 91
97, 107, 101, 87, 95, 91
99, 106, 103, 89, 95, 91
89, 98, 93, 87, 107, 91
91, 99, 95, 87, 95, 91
95, 105, 99, 87, 95, 91
99, 108, 103, 87, 95, 91
99, 108, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
93, 102, 97, 87, 95, 91
91, 100, 95, 87, 95, 91
99, 108, 103, 87, 95, 91
97, 105, 99, 87, 95, 91
91, 100, 95, 89, 95, 91
89, 98, 93, 87, 95, 91
99, 107, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 99, 93, 87, 95, 91
99, 107, 103, 87, 95, 91
97, 105, 101, 87, 95, 91
91, 111, 95, 87, 105, 91
89, 103, 93, 87, 95, 91
97, 106, 101, 87, 99, 91
99, 107, 103, 89, 95, 91
91, 101, 95, 87, 95, 91
93, 101, 97, 87, 95, 91
96, 105, 100, 87, 102, 91
99, 112, 103, 87, 95, 91
89, 112, 93, 87, 105, 91
91, 101, 97, 87, 95, 91
97, 112, 101, 87, 95, 91
99, 107, 103, 89, 97, 91
91, 99, 94, 87, 95, 91
93, 105, 97, 87, 95, 91
95, 103, 99, 87, 99, 91
99, 108, 103, 87, 95, 91
89, 103, 93, 87, 95, 91
91, 109, 95, 87, 95, 91
97, 111, 101, 88, 95, 91
99, 115, 103, 89, 95, 92
91, 105, 94, 88, 104, 91
93, 105, 96, 87, 95, 91
95, 112, 99, 87, 95, 91
99, 114, 103, 87, 93, 91
89, 105, 93, 87, 95, 91
91, 105, 95, 87, 95, 91
97, 113, 101, 87, 95, 91
99, 116, 103, 89, 95, 91
91, 107, 94, 87, 95, 91
93, 110, 97, 87, 95, 91
95, 109, 99, 87, 97, 91
99, 115, 103, 87, 94, 91
89, 103, 93, 87, 93, 91
91, 104, 95, 87, 99, 91
99, 111, 103, 89, 95, 91
97, 112, 101, 87, 95, 91
93, 108, 96, 87, 97, 91
91, 105, 95, 87, 95, 91
99, 113, 103, 87, 95, 91
97, 110, 99, 87, 104, 91
91, 107, 95, 87, 95, 91
89, 105, 93, 87, 95, 91
100, 113, 103, 89, 96, 91
97, 111, 101, 87, 95, 91
93, 109, 97, 87, 95, 91
91, 106, 93, 87, 99, 91
99, 128, 103, 87, 101, 91
98, 111, 102, 90, 107, 93
93, 111, 97, 87, 95, 91
89, 103, 93, 87, 95, 91
91, 107, 94, 87, 95, 91
93, 108, 97, 87, 95, 91
97, 115, 101, 88, 97, 93
102, 118, 105, 91, 97, 94
89, 135, 93, 87, 94, 91
91, 115, 95, 89, 100, 93
98, 110, 103, 90, 97, 93
99, 120, 103, 87, 93, 91
91, 101, 95, 87, 114, 91
93, 101, 96, 87, 95, 91
97, 111, 101, 87, 95, 91
99, 107, 103, 89, 99, 91
89, 97, 93, 87, 95, 91
91, 103, 95, 87, 95, 91
95, 104, 99, 87, 98, 91
99, 109, 104, 87, 94, 91
93, 107, 97, 87, 95, 91
91, 99, 94, 87, 97, 91
99, 109, 103, 89, 95, 91
97, 107, 101, 89, 95, 92
91, 101, 95, 87, 104, 91
89, 102, 93, 87, 95, 91
99, 109, 103, 87, 95, 91
95, 106, 100, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 99, 94, 87, 95, 91
99, 107, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
91, 100, 95, 87, 94, 91
89, 97, 93, 87, 95, 91
99, 109, 103, 87, 107, 91
98, 115, 103, 90, 97, 93
100, 109, 105, 87, 95, 91
95, 105, 100, 87, 95, 91
91, 101, 95, 87, 95, 91
89, 97, 93, 87, 95, 91
99, 108, 103, 89, 97, 93
100, 109, 103, 90, 97, 93
93, 103, 97, 87, 95, 91
91, 99, 93, 87, 95, 91
99, 107, 103, 87, 95, 91
96, 105, 99, 87, 95, 91
91, 101, 95, 87, 93, 91
89, 97, 93, 87, 95, 91
99, 108, 103, 89, 95, 91
97, 113, 101, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 99, 95, 87, 95, 91
95, 105, 99, 89, 97, 93
102, 110, 105, 89, 97, 93
90, 101, 93, 87, 95, 91
91, 100, 95, 87, 95, 91
97, 105, 101, 87, 95, 91
99, 109, 103, 89, 95, 91
91, 99, 95, 88, 95, 91
93, 101, 96, 87, 95, 91
95, 148, 99, 88, 95, 91
99, 107, 103, 87, 96, 91
89, 97, 93, 89, 95, 91
91, 104, 95, 87, 95, 91
97, 105, 101, 87, 99, 91
99, 107, 103, 89, 95, 91
91, 109, 95, 87, 95, 91
93, 99, 96, 88, 96, 91
91, 99, 95, 87, 95, 91
89, 97, 93, 87, 95, 91
99, 107, 103, 87, 99, 91
95, 105, 99, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 105, 95, 87, 95, 91
99, 108, 103, 89, 95, 91
97, 107, 101, 87, 95, 91
93, 101, 95, 87, 95, 91
89, 98, 93, 87, 95, 91
99, 107, 103, 87, 95, 91
95, 106, 99, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 99, 95, 87, 95, 91
100, 109, 104, 89, 95, 91
97, 105, 101, 87, 95, 91
89, 99, 93, 87, 95, 91
91, 99, 95, 87, 103, 91
97, 110, 101, 87, 95, 91
99, 109, 103, 87, 94, 91
91, 99, 95, 87, 95, 91
93, 102, 96, 87, 95, 91
97, 107, 101, 87, 95, 91
99, 109, 103, 89, 95, 91
89, 99, 93, 87, 95, 91
91, 101, 95, 87, 97, 91
95, 105, 99, 87, 95, 91
99, 107, 103, 87, 94, 91
91, 99, 94, 88, 95, 91
93, 107, 96, 87, 95, 91
97, 105, 101, 88, 94, 91
99, 108, 103, 89, 95, 91
91, 99, 95, 87, 95, 91
89, 97, 93, 87, 95, 91
99, 108, 103, 87, 94, 91
96, 110, 99, 87, 103, 91
93, 102, 97, 87, 94, 91
91, 101, 94, 87, 95, 91
99, 107, 103, 89, 95, 91
97, 106, 101, 87, 95, 91
91, 100, 95, 88, 95, 91
89, 98, 93, 87, 104, 91
99, 113, 103, 87, 95, 91
97, 107, 99, 87, 95, 91
93, 102, 97, 88, 101, 91
91, 97, 94, 87, 95, 91
99, 109, 103, 89, 95, 91
97, 103, 101, 87, 98, 91
89, 99, 93, 87, 94, 91
91, 103, 95, 87, 95, 91
95, 103, 99, 87, 102, 91
99, 107, 103, 87, 95, 91
91, 100, 94, 87, 95, 91
93, 107, 96, 87, 95, 91
97, 105, 101, 87, 95, 91
99, 108, 103, 89, 95, 91
89, 97, 93, 87, 95, 91
91, 99, 95, 87, 95, 91
97, 104, 99, 87, 95, 91
99, 107, 103, 87, 95, 91
91, 101, 94, 87, 95, 91
93, 101, 97, 87, 95, 91
97, 106, 101, 87, 95, 91
99, 107, 103, 89, 95, 91
99, 108, 103, 87, 93, 91
95, 105, 99, 87, 95, 91
91, 100, 95, 87, 95, 91
89, 104, 93, 87, 101, 91
99, 109, 103, 89, 95, 91
97, 107, 101, 87, 95, 91
93, 103, 97, 87, 95, 91
91, 103, 93, 87, 95, 91
99, 107, 103, 87, 95, 91
95, 105, 99, 87, 95, 91
91, 101, 95, 89, 95, 91
89, 97, 93, 87, 95, 91
99, 108, 103, 89, 95, 91
97, 140, 101, 87, 95, 91
93, 102, 97, 87, 97, 93
92, 103, 97, 90, 97, 93
97, 109, 101, 87, 95, 91
99, 107, 103, 87, 97, 92
92, 101, 95, 90, 97, 93
91, 103, 95, 87, 95, 91
97, 107, 101, 87, 94, 91
99, 107, 103, 89, 95, 91
91, 99, 95, 87, 95, 91
93, 101, 96, 87, 95, 91
95, 103, 99, 87, 94, 91
99, 107, 103, 87, 95, 91
89, 99, 93, 87, 95, 91
92, 113, 95, 87, 95, 91
97, 136, 101, 87, 95, 91
99, 107, 103, 89, 101, 91
91, 101, 94, 87, 94, 91
93, 103, 96, 87, 105, 91
91, 99, 94, 87, 103, 91
93, 101, 97, 87, 95, 91
97, 107, 101, 87, 94, 91
99, 107, 103, 89, 103, 91
89, 99, 93, 87, 95, 91
91, 107, 95, 87, 95, 91
95, 103, 99, 88, 95, 91
99, 107, 103, 87, 95, 91
91, 99, 95, 87, 95, 91
93, 101, 97, 87, 95, 91
97, 105, 101, 87, 95, 91
99, 108, 103, 89, 95, 92
89, 99, 93, 87, 103, 91
91, 100, 95, 87, 95, 91
95, 106, 99, 89, 95, 91
99, 107, 103, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 99, 95, 87, 95, 91
99, 109, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
91, 113, 95, 88, 105, 91
89, 109, 93, 87, 101, 91
99, 107, 103, 87, 95, 91
96, 108, 99, 87, 95, 91
93, 101, 97, 88, 97, 91
91, 101, 95, 87, 95, 91
99, 111, 103, 89, 95, 91
97, 104, 101, 87, 99, 91
91, 102, 96, 88, 95, 91
89, 112, 93, 87, 95, 91
99, 106, 103, 87, 95, 91
97, 104, 99, 87, 95, 91
97, 105, 101, 87, 95, 91
99, 107, 103, 87, 95, 91
89, 99, 94, 87, 94, 91
93, 101, 96, 87, 95, 91
96, 105, 99, 87, 95, 91
99, 107, 103, 87, 93, 91
89, 99, 93, 87, 95, 91
91, 101, 95, 87, 95, 91
97, 105, 101, 87, 95, 91
99, 107, 103, 89, 95, 91
89, 99, 94, 85, 93, 89
91, 99, 93, 85, 95, 89
95, 105, 100, 87, 102, 91
99, 113, 103, 87, 101, 91
89, 98, 93, 87, 95, 91
91, 105, 95, 87, 95, 91
99, 108, 103, 89, 97, 91
97, 107, 101, 87, 95, 91
93, 102, 97, 87, 95, 91
91, 99, 93, 87, 101, 91
99, 108, 103, 87, 95, 91
96, 111, 99, 87, 95, 91
91, 99, 95, 87, 95, 91
89, 97, 93, 87, 95, 91
99, 107, 103, 89, 95, 91
97, 107, 101, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 97, 93, 87, 95, 91
99, 106, 103, 87, 95, 91
95, 105, 99, 87, 95, 91
93, 101, 96, 87, 95, 91
89, 98, 93, 87, 95, 91
99, 109, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
93, 103, 97, 88, 95, 91
91, 97, 93, 87, 95, 91
99, 107, 103, 87, 95, 91
95, 105, 99, 87, 95, 91
91, 110, 95, 87, 103, 91
89, 99, 93, 87, 95, 91
99, 109, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
93, 105, 97, 87, 93, 91
91, 99, 93, 87, 95, 91
99, 107, 103, 87, 94, 91
95, 111, 99, 87, 95, 91
91, 101, 95, 87, 95, 91
89, 97, 93, 87, 95, 91
97, 107, 101, 87, 95, 91
99, 107, 103, 89, 95, 91
91, 99, 95, 87, 94, 91
93, 101, 96, 87, 95, 91
95, 105, 100, 87, 95, 91
99, 107, 103, 87, 105, 91
89, 97, 93, 89, 95, 91
91, 99, 95, 87, 95, 91
97, 107, 101, 87, 105, 91
99, 107, 103, 89, 95, 93
91, 99, 95, 88, 95, 91
93, 101, 97, 87, 95, 91
95, 104, 99, 87, 95, 91
99, 107, 103, 87, 95, 91
89, 99, 93, 87, 95, 91
91, 110, 95, 87, 95, 91
93, 115, 97, 87, 95, 91
91, 97, 93, 87, 95, 91
99, 106, 103, 89, 95, 91
97, 106, 101, 87, 95, 91
91, 101, 95, 87, 95, 91
89, 103, 93, 87, 95, 91
99, 107, 103, 87, 95, 91
97, 105, 99, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 100, 94, 87, 95, 91
99, 108, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
91, 100, 95, 87, 95, 91
89, 99, 93, 87, 95, 91
99, 107, 103, 87, 95, 91
97, 105, 99, 87, 95, 91
91, 99, 94, 87, 95, 91
93, 101, 97, 87, 95, 91
97, 104, 101, 87, 95, 91
99, 106, 103, 89, 95, 91
89, 98, 93, 87, 94, 91
91, 99, 95, 87, 95, 91
95, 103, 99, 87, 95, 91
99, 107, 103, 87, 94, 91
91, 105, 95, 88, 95, 91
93, 101, 96, 87, 100, 91
97, 103, 100, 87, 94, 91
99, 111, 103, 89, 97, 91
89, 99, 93, 87, 103, 91
91, 111, 95, 87, 95, 91
95, 103, 99, 87, 95, 91
99, 107, 103, 87, 95, 91
95, 103, 99, 87, 95, 91
99, 107, 103, 87, 95, 91
89, 99, 93, 87, 95, 91
91, 100, 95, 87, 95, 91
97, 106, 101, 87, 95, 91
99, 107, 103, 89, 97, 92
91, 99, 94, 87, 95, 91
93, 101, 97, 87, 95, 91
96, 105, 100, 87, 95, 91
99, 107, 103, 87, 95, 91
89, 99, 93, 87, 95, 91
91, 99, 95, 87, 95, 91
97, 106, 101, 87, 95, 91
99, 107, 103, 89, 95, 92
91, 99, 95, 87, 95, 91
93, 100, 96, 87, 95, 91
100, 109, 103, 87, 95, 91
96, 105, 99, 87, 113, 91
91, 100, 95, 87, 94, 91
89, 99, 93, 87, 95, 91
99, 107, 103, 89, 103, 91
97, 115, 101, 87, 95, 91
93, 102, 97, 87, 95, 91
91, 100, 95, 87, 101, 91
99, 107, 103, 87, 93, 91
96, 109, 99, 87, 95, 91
91, 101, 95, 87, 97, 91
89, 96, 93, 87, 95, 91
99, 109, 103, 87, 95, 91
97, 107, 101, 87, 97, 91
93, 101, 97, 87, 95, 91
91, 105, 94, 87, 95, 91
89, 99, 93, 88, 95, 91
91, 101, 95, 87, 95, 91
95, 103, 99, 87, 95, 91
99, 107, 103, 87, 95, 91
91, 101, 94, 87, 95, 91
93, 101, 97, 87, 95, 91
97, 107, 101, 88, 95, 91
99, 107, 103, 89, 95, 91
89, 99, 93, 87, 95, 91
91, 101, 95, 87, 118, 91
95, 113, 99, 87, 95, 91
99, 107, 103, 87, 95, 91
91, 97, 94, 87, 97, 91
93, 109, 97, 87, 95, 91
97, 108, 101, 87, 95, 91
99, 108, 103, 89, 97, 91
91, 100, 95, 87, 95, 91
89, 99, 93, 87, 95, 91
99, 109, 103, 87, 94, 91
97, 105, 99, 87, 95, 91
93, 101, 97, 87, 94, 91
91, 99, 93, 87, 95, 91
99, 108, 103, 89, 95, 91
97, 105, 101, 88, 95, 91
92, 101, 96, 87, 95, 91
89, 97, 93, 87, 95, 91
99, 109, 103, 87, 94, 91
96, 103, 99, 87, 95, 91
93, 101, 97, 87, 95, 91
91, 99, 93, 87, 95, 91
99, 107, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
95, 105, 100, 87, 95, 91
99, 108, 103, 87, 94, 91
89, 99, 93, 87, 94, 91
91, 108, 96, 87, 95, 91
97, 107, 101, 87, 97, 91
99, 113, 103, 89, 97, 93
91, 100, 95, 87, 95, 91
93, 103, 97, 87, 95, 91
95, 103, 99, 87, 95, 91
99, 108, 103, 87, 93, 91
89, 97, 93, 87, 95, 91
91, 101, 95, 87, 95, 91
97, 107, 101, 87, 95, 91
99, 107, 103, 89, 95, 91
91, 99, 94, 87, 95, 91
93, 101, 96, 87, 95, 91
99, 106, 103, 87, 93, 91
97, 105, 99, 87, 95, 91
91, 100, 95, 87, 95, 91
89, 97, 93, 87, 95, 91
99, 109, 103, 89, 95, 91
97, 106, 101, 87, 95, 91
93, 103, 97, 87, 95, 91
91, 99, 93, 87, 95, 91
99, 109, 103, 87, 95, 91
97, 105, 100, 87, 95, 91
91, 99, 95, 87, 95, 91
89, 101, 93, 87, 105, 91
99, 107, 103, 89, 99, 91
97, 113, 101, 87, 95, 91
93, 102, 97, 87, 95, 91
91, 99, 93, 87, 95, 91
89, 97, 93, 87, 95, 91
91, 101, 95, 87, 95, 91
97, 105, 100, 87, 95, 91
99, 107, 103, 87, 93, 91
91, 99, 95, 87, 94, 91
93, 101, 97, 87, 95, 91
97, 106, 101, 87, 95, 91
99, 107, 103, 89, 95, 91
89, 97, 93, 87, 95, 91
91, 100, 95, 87, 95, 91
95, 103, 99, 88, 95, 91
99, 108, 103, 87, 95, 91
91, 98, 94, 87, 95, 91
93, 103, 97, 87, 95, 91
97, 107, 101, 87, 103, 91
99, 107, 103, 89, 95, 91
91, 101, 95, 87, 95, 91
89, 103, 93, 87, 95, 91
99, 108, 103, 87, 95, 91
97, 146, 99, 87, 95, 91
93, 103, 97, 87, 103, 91
91, 111, 95, 87, 95, 91
99, 108, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
91, 99, 95, 87, 95, 91
89, 97, 93, 87, 95, 91
99, 107, 103, 87, 93, 91
96, 105, 99, 88, 95, 91
93, 101, 97, 87, 95, 91
91, 99, 94, 87, 95, 91
100, 109, 103, 89, 95, 91
97, 105, 101, 87, 95, 91
99, 107, 103, 89, 95, 91
97, 106, 101, 87, 95, 91
93, 101, 97, 88, 95, 91
91, 98, 93, 87, 95, 91
99, 109, 103, 87, 94, 91
95, 105, 99, 87, 95, 91
92, 102, 95, 87, 95, 91
89, 99, 93, 87, 95, 91
99, 109, 103, 89, 95, 91
97, 106, 101, 87, 95, 91
93, 106, 97, 89, 105, 93
93, 115, 97, 90, 97, 93
99, 136, 103, 87, 95, 91
95, 113, 99, 87, 107, 91
91, 130, 95, 87, 124, 91
89, 103, 93, 87, 95, 91
97, 115, 101, 87, 95, 91
99, 113, 103, 89, 95, 92
91, 105, 94, 87, 95, 91
93, 127, 96, 87, 97, 91
95, 109, 99, 87, 95, 91
99, 138, 103, 87, 94, 91
89, 102, 93, 87, 97, 91
91, 109, 95, 87, 95, 91
97, 111, 101, 87, 95, 91
99, 115, 103, 89, 95, 91
91, 105, 94, 87, 95, 91
93, 106, 96, 87, 95, 91
95, 115, 99, 87, 95, 91
99, 111, 103, 87, 93, 91
89, 105, 93, 87, 95, 91
91, 113, 95, 87, 95, 91
93, 107, 97, 87, 95, 91
91, 105, 95, 87, 95, 91
99, 111, 103, 89, 95, 91
97, 110, 101, 87, 97, 91
91, 107, 96, 88, 102, 91
89, 105, 93, 87, 95, 91
99, 113, 103, 87, 99, 91
96, 114, 99, 87, 95, 91
93, 109, 97, 87, 95, 91
91, 103, 93, 87, 142, 91
99, 111, 103, 89, 95, 91
97, 111, 101, 87, 95, 91
91, 109, 95, 88, 97, 91
89, 103, 93, 87, 95, 91
99, 114, 103, 87, 95, 91
97, 109, 99, 87, 97, 91
91, 111, 93, 87, 94, 91
93, 105, 97, 87, 95, 91
97, 110, 101, 87, 101, 91
99, 125, 103, 89, 95, 91
89, 103, 93, 88, 95, 91
91, 104, 96, 87, 95, 91
95, 109, 99, 88, 97, 93
101, 152, 105, 90, 97, 93
91, 110, 95, 88, 95, 91
93, 106, 97, 89, 99, 93
100, 122, 104, 90, 97, 93
99, 115, 103, 89, 95, 92
89, 108, 93, 87, 95, 91
91, 106, 95, 87, 95, 91
95, 110, 99, 87, 95, 91
99, 114, 103, 87, 99, 91
91, 103, 93, 87, 95, 91
93, 110, 97, 87, 95, 91
97, 113, 101, 88, 99, 91
99, 113, 103, 89, 95, 93
89, 101, 93, 88, 95, 91
91, 104, 95, 87, 97, 91
95, 110, 100, 87, 95, 91
99, 123, 103, 87, 95, 91
91, 139, 94, 87, 95, 91
93, 106, 97, 87, 95, 91
97, 111, 101, 87, 95, 91
99, 138, 103, 89, 95, 93
89, 103, 93, 87, 95, 91
92, 105, 97, 87, 95, 91
95, 119, 99, 87, 95, 91
99, 111, 103, 87, 101, 91
93, 109, 97, 87, 94, 91
91, 115, 94, 88, 95, 91
99, 114, 103, 89, 101, 91
97, 112, 101, 88, 116, 91
91, 109, 95, 87, 95, 91
89, 105, 93, 87, 101, 91
99, 113, 103, 87, 95, 91
95, 109, 99, 87, 95, 91
93, 106, 97, 87, 101, 91
91, 106, 94, 87, 95, 91
99, 118, 103, 89, 95, 91
97, 111, 101, 87, 99, 91
91, 105, 95, 87, 95, 91
89, 104, 93, 87, 95, 91
99, 116, 103, 87, 97, 91
96, 110, 99, 87, 95, 91
97, 111, 101, 88, 95, 91
99, 140, 103, 89, 95, 92
91, 103, 94, 87, 95, 91
93, 110, 96, 87, 95, 91
95, 114, 99, 87, 95, 91
99, 111, 103, 87, 97, 93
92, 122, 95, 90, 97, 93
91, 113, 95, 87, 95, 91
97, 111, 101, 87, 97, 91
99, 113, 103, 89, 95, 91
91, 107, 94, 87, 95, 91
93, 109, 96, 87, 99, 91
95, 113, 99, 87, 95, 91
99, 111, 103, 87, 93, 91
89, 111, 93, 87, 106, 91
92, 109, 95, 87, 95, 91
99, 114, 103, 89, 95, 91
97, 109, 101, 87, 98, 91
93, 137, 97, 85, 95, 91
87, 107, 91, 85, 93, 89
97, 116, 99, 85, 95, 88
93, 109, 97, 85, 95, 91
91, 105, 95, 87, 95, 91
89, 103, 93, 87, 95, 91
99, 115, 103, 89, 95, 91
97, 111, 101, 87, 95, 91
93, 110, 97, 87, 95, 91
91, 105, 93, 87, 99, 91
99, 114, 103, 87, 93, 91
95, 109, 99, 87, 95, 91
91, 106, 95, 87, 102, 91
89, 105, 93, 87, 95, 91
91, 107, 95, 87, 95, 91
89, 105, 93, 87, 99, 91
99, 112, 103, 87, 95, 91
95, 115, 99, 87, 95, 91
93, 109, 97, 87, 97, 91
91, 105, 95, 87, 95, 91
99, 114, 103, 89, 95, 92
97, 111, 100, 87, 99, 91
91, 105, 97, 87, 103, 91
89, 107, 93, 87, 95, 91
99, 142, 103, 87, 97, 91
95, 109, 99, 87, 95, 91
93, 107, 97, 87, 95, 91
